Intent,Question,Answer
prevention and protection,Should I make my own hand sanitizer if I canâ€™t find it in the stores?,"CDC recommends handwashing with soap and water for at least 20 seconds or, using alcohol-based hand sanitizer with at least 60% alcohol when soap and water are not available. These actions are part ofeveryday preventive actionsindividuals can take to slow the spread of respiratory diseases like COVID-19.When washing hands, you can use plain soap or antibacterial soap. Plain soap is as effective as antibacterial soap at removing germs.If soap and water are not readily available, you can use an FDA-approved alcohol-basedhand sanitizerthat contains at least 60% alcohol. You can tell if the sanitizer contains at least 60% alcohol by looking at the product label.CDC does not encourage the production and use of homemade hand sanitizerproducts because of concerns over the correct use of the ingredientsexternal iconexternal iconand the need to work under sterile conditions to make the product. Local industries that are looking into producing hand sanitizer to fill in for commercial shortages can refer to theWorld Health Organization guidancepdf iconexternal iconpdf iconexternal icon.Â Organizations should revert to the use of commercially produced, FDA-approved product once such supplies again become available.To be effective against killing some types of germs,hand sanitizersneed to have a strength of at least 60% alcohol and be used when hands are not visibly dirty or greasy.Do not rely on â€œDo It Yourselfâ€ or â€œDIYâ€ recipes based solely on essential oils or formulated without correct compounding practices.Do not use hand sanitizer to disinfect frequently touched surfaces and objects.See CDCâ€™s information for cleaning and sanitizing your home.See FAQs about hand hygiene for healthcare personnel responding to COVID-2019."
general,What should I do if there is an outbreak in my community?,"During an outbreak, stay calm and put your preparedness plan to work. Follow the steps below:Protect yourself and others.Stay home if you are sick. Keep away from people who are sick. Limit close contact with others as much as possible (about 6 feet).Put your household plan into action.Stay informed about the local COVID-19 situation. Be aware of temporary school dismissals in your area, as this may affect your householdâ€™s daily routine.Continue practicing everyday preventive actions.Cover coughs and sneezes with a tissue and wash your hands often with soap and water for at least 20 seconds. If soap and water are not available, use a hand sanitizer that contains 60% alcohol. Clean frequently touched surfaces and objects daily using a regular household detergent and water.Notify your workplace as soon as possible if your regular work schedule changes.Ask to work from home or take leave if you or someone in your household gets sick withCOVID-19 symptoms, or if your childâ€™s school is dismissed temporarily.Learn how businesses and employers can plan for and respond to COVID-19.Stay in touch with others by phone or email.If you have a chronic medical condition and live alone, ask family, friends, and health care providers to check on you during an outbreak. Stay in touch with family and friends, especially those at increased risk of developing severe illness, such as older adults and people with severe chronic medical conditions."
"child,women,pet",Will schools be dismissed if there is an outbreak in my community?,"Depending on the situation, public health officials may recommend community actions to reduce exposures to COVID-19, such as school dismissals. Read or watch local media sources that report school dismissals or and watch for communication from your childâ€™s school. If schools are dismissed temporarily, discourage students and staff from gathering or socializing anywhere, like at a friendâ€™s house, a favorite restaurant, or the local shopping mall."
general,Should I go to work if there is an outbreak in my community?,"Follow the advice of your local health officials. Stay home if you can. Talk to your employer to discuss working from home, taking leave if you or someone in your household gets sick withCOVID-19 symptoms, or if your childâ€™s school is dismissed temporarily. Employers should be aware that more employees may need to stay at home to care for sick children or other sick family members than is usual in case of a community outbreak."
service,Will businesses and schools close or stay closed in my community and for how long? ,"CDC makes recommendations, shares information, and provides guidance to help slow down the spread of COVID-19 in the U.S. including guidance for schools and businesses. CDC regularly shares information and provides assistance to state, local, territorial, and tribal health authorities. These local authorities are responsible for making decisions includingÂ  â€œstay at homeâ€ or â€œshelter in place.â€ What is included in these orders and how they are implemented are also decided by local authorities. These decisions may also depend on many factors such as how the virus is spreading in a certain community.Pleasecontact your local health departmentto find out more."
spread,when it is safe for me to go back to work/school after recovering from or being exposed to COVID-19?,"CDC cannot address the policies of any business or organization. CDC shares recommendations based on the best available science to help people make decisions that improve their health and safety. Employers, schools, and organizations may decide to visibly screen for symptoms or perform on-site symptom checks.If your employer, school, or organization requires you to present documentation regarding COVID-19 before returning to work or school (for example, proof of a negative COVID-19 lab test, if a test was performed, contact your healthcare provider to ask if he or she would be able to provide a form of documentation for you. Documentation of self-isolation and self-quarantine may not be possible.CDC has guidance for when and how people with COVID-19 can discontinue home isolation:https://www.cdc.gov/coronavirus/2019-ncov/if-you-are-sick/steps-when-sick.html.CDC also has guidance for what people should do if they think they have been exposed or feel sick:https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/social-distancing.html.In all cases,follow the guidance of your healthcare provider and local health department. Local decisions depend on local circumstances."
symptoms,What are the symptoms and complications that COVID-19 can cause?,"Current symptoms reported for patients with COVID-19 have included mild to severe respiratory illness with fever1, cough, and difficulty breathing. Read aboutCOVID-19 Symptoms."
testing,Should I be tested for COVID-19?,"Not everyone needs to be tested for COVID-19. For information about testing, seeTesting for COVID-19."
testing,Where can I get tested for COVID-19?,"The process and locations for testing vary from place to place. Contact your state, local, tribal, or territorial department for more information, or reach out to a medical provider. State and local public health departments have received tests from CDC while medical providers are getting tests developed by commercial manufacturers. While supplies of these tests are increasing, it may still be difficult to find someplace to get tested. SeeTesting for COVID-19for more information."
testing,Can a person test negative and later test positive for COVID-19?,"Using the CDC-developed diagnostic test, a negative result means that the virus that causes COVID-19 was not found in the personâ€™s sample. In the early stages of infection, it is possible the virus will not be detected.For COVID-19, a negative test result for a sample collected while a person has symptoms likely means that the COVID-19 virus is not causing their current illness."
testing,What kind of test is being used to diagnose if I have COVID-19?,"There are actually many tests being used to diagnose COVID-19 that the U.S. Food & Drug Administration (FDA) has authorized for use during the current emergency. All of these diagnostic tests identify the virus in samples from the respiratory system, such as from nasal or nasopharyngeal swabs. Some tests are conducted at the testing site you visit, and results are available to you within minutes. Other tests must be sent to a laboratory to analyze, a process that takes 1-2 days once the lab receives your samples.Locations and types of testing sites vary depending on where you live (see question: Where can I get tested). Check with your testing site to learn which test it uses. You can find apatient information sheet about each test on the FDA websiteexternal icon.In the coming weeks, healthcare providers in most states will begin offering home collection kits, which the U.S. Food and Drug Administration (FDA) has authorized for use during the current emergency. A healthcare provider will need to give you the approved kit â€“ the Pixel by LabCorp COVID-19 test home collection kit. You will be able to collect your sample (a nasal swab) at home and then send your sample to a laboratory for analysis.For more information please seeFDAâ€™s most recent press releaseexternal icon."
info,"If I have recovered from COVID-19, will I be immune to it?","CDC and partners are investigating to determine if you can get sick with COVID-19 more than once. At this time, we are not sure if you can become re-infected. Until we know more, continue to take steps to protect yourself and others."
info,Who is at higher risk for serious illness from COVID-19?,"COVID-19 is a new disease and there is limited information regarding risk factors for severe disease. Based on currently available information and clinical expertise,older adultsandpeople of any age who have serious underlying medical conditionsmight be at higher risk for severe illness from COVID-19.Based on what we know now, those at high-risk for severe illness from COVID-19 are:People aged 65 years and olderPeople who live in a nursing home or long-term care facilityPeople of all ages with underlying medical conditions, particularly if not well controlled, including:People with chronic lung disease or moderate to severe asthmaPeople who have serious heart conditionsPeople who are immunocompromisedMany conditions can cause a person to be immunocompromised, including cancer treatment, smoking, bone marrow or organ transplantation, immune deficiencies, poorly controlled HIV or AIDS, and prolonged use of corticosteroids and other immune weakening medicationsPeople with severe obesity (body mass index [BMI] â‰¥40)People with diabetesPeople with chronic kidney disease undergoing dialysisPeople with liver disease"
info,What should people at higher risk of serious illness with COVID-19 do?,"If you are at higher risk of getting very sick from COVID-19, you should:Stock up on suppliesTake everyday precautions to keep space between yourself and othersWhen you go out in public, keep away from others who are sickLimit close contact and wash your hands oftenAvoid crowds, cruise travel, and non-essential travelIf there is an outbreak in your community, stay home as much as possible. Watch for symptoms and emergency signs. If you get sick, stay home and call your doctor. More information on how to prepare, what to do if you get sick, and how communities and caregivers can support those at higher risk is available onPeople at Risk for Serious Illness from COVID-19."
info,How were the underlying conditions for people considered higher risk of serious illness with COVID-19 selected?,"This list is based on:What we are learning from the outbreak in other countries and in the United States.What we know about risk from other respiratory infections, like flu.As CDC gets more information about COVID-19 cases here in the United States, we will update this list as needed."
cure,Are there any medications I should avoid taking if I have COVID-19?,"Currently, there is no evidence to show that taking ibuprofenÂ or naproxen can lead to a more severe infection of COVID-19.People withÂ high blood pressure should take their blood pressureÂ medications,Â as directed, and work with their healthcare provider to make sure that their blood pressure is as well controlled as possible. Any changes to your medications should only be made by your healthcare provider."
mental health and fitness,What does a well-controlled health condition mean?,"Generally, well-controlled means that your condition is stable, not life-threatening, and laboratory assessments and other findings are as similar as possible to those without the health condition. You should talk with your healthcare provider if you have a question about your health or how your health condition is being managed."
general,What does more severe illness mean?,Severity typically means how much impact the illness or condition has on your bodyâ€™s function.Â  You should talk with your healthcare provider if you have a question about your health or how your health condition is being managed.
general,Are people with disabilities at higher risk?,"Most people with disabilities are not inherently at higher risk for becoming infected with or having severe illness from COVID-19.Â  Some people with physical limitations or other disabilities might be at a higher risk of infection because of their underlying medical condition.People with certain disabilities might experience higher rates of chronic health conditions that put them at higher risk of serious illness and poorer outcomes from COVID-19. Adults with disabilities are three times more likely to have heart disease, stroke, diabetes, or cancer than adults without disabilities.You should talk with your healthcare provider if you have a question about your health or how your health condition is being managed."
prevention and protection,What should healthcare professionals and health departments do?,"For recommendations and guidance on persons under investigation; infection control, including personal protective equipment guidance; home care and isolation; and case investigation, seeInformation for Healthcare Professionals. For information on specimen collection and shipment, seeInformation for Laboratories.For information for public health professional on COVID-19, seeInformation for Public Health Professionals."
spread,Am I at risk if I go to a funeral or visitation service for someone who died of COVID-19?,There is currently no known risk associated with being in the same room at a funeral or visitation service with the body of someone who died of COVID-19.
general,What is CDC doing about COVID-19?,"CDC is working with other federal partners in a whole-of-government response. This is an emerging, rapidly evolving situation and CDC will continue to provide updated information as it becomes available. CDC works 24/7 to protect peopleâ€™s health. More information aboutCDCâ€™s response to COVID-19is available online."
"child,women,pet",Can I get COVID-19 from my pets or other animals?,"At this time, there is no evidence that animals play a significant role in spreading the virus that causes COVID-19. Based on the limited information available to date, the risk of animals spreading COVID-19 to people is considered to be low. Â A small number of pets have been reported to be infected with the virus that causes COVID-19, mostly after contact with people with COVID-19.Pets have other types of coronaviruses that can make them sick, like canine and feline coronaviruses. These other coronaviruses cannot infect people and are not related to the current COVID-19 outbreak.However, since animals can spread other diseases to people, itâ€™s always a good idea to practicehealthy habitsaround pets and other animals, such as washing your hands and maintaining good hygiene. For more information on the many benefits of pet ownership, as well as staying safe and healthy around animals including pets, livestock, and wildlife, visit CDCâ€™sHealthy Pets, Healthy People website."
"child,women,pet",Do I need to get my pet tested for COVID-19?,"No. At this time, routine testing of animals for COVID-19 is not recommended."
"child,women,pet",Can animals carry the virus that causes COVID-19 on their skin or fur?,"Although we know certain bacteria and fungi can be carried on fur and hair, there is no evidence that viruses, including the virus that causes COVID-19, can spread to people from the skin, fur, or hair of pets.However, because animals can sometimes carry other germs that can make people sick, itâ€™s always a good idea to practicehealthy habitsaround pets and other animals, including washing hands before and after interacting with them."
"child,women,pet",Should I avoid contact with pets or other animals if I am sick with COVID-19?,"We are still learning about this virus, but it appears that it can spread from people to animals in some situations. Until we learn more about this new coronavirus, you should restrict contact with pets and other animals while you are sick with COVID-19, just like you would with people. When possible, have another member of your household care for your animals while you are sick. If you are sick with COVID-19, avoid contact with your pet, includingPettingSnugglingBeing kissed or lickedSharing food or beddingIf you must care for your pet or be around animals while you are sick, wash your hands before and after you interact with pets and wear a cloth face covering."
"child,women,pet",What animals can get COVID-19?,"We donâ€™t know for sure which animals can be infected with the virus that causes COVID-19. CDC is aware of a small number of pets, including dogs and cats, reported to be infected with the virus that causes COVID-19, mostly after close contact with people with COVID-19. A tiger at a zoo in New York has also tested positive for the virus.Recent research shows that ferrets, cats, and golden Syrian hamsters can be experimentally infected with the virus and can spread the infection to other animals of the same species in laboratory settings. Pigs, chickens, and ducks did not become infected or spread the infection based on results from these studies. Data from one study suggested dogs are not as likely to become infected with the virus as cats and ferrets. These findings were based on a small number of animals, and do not show whether animals can spread infection to people.At this time, there is no evidence that animals play a significant role in spreading the virus that causes COVID-19. Based on the limited information available to date, the risk of animals spreading COVID-19 to people is considered to be low. Further studies are needed to understand if and how different animals could be affected by the virus that causes COVID-19 and the role animals may play in the spread of COVID-19."
"child,women,pet",What should I do if my pet gets sick and I think its COVID-19?,"There is a small number of animals around the world reported to be infected with the virus that causes COVID-19, mostly after having contact with a person with COVID-19. Talk to your veterinarian about any health concerns you have about your pets.If your pet gets sick after contact with a person with COVID-19,do not take your pet to the veterinary clinic yourself. Call your veterinarian and let them know the pet was around a person with COVID-19. Some veterinarians may offer telemedicine consultations or other plans for seeing sick pets. Your veterinarian can evaluate your pet and determine the next steps for your petâ€™s treatment and care."
"child,women,pet",What about imported animals or animal products?,"CDC does not have any evidence to suggest that imported animals or animal products pose a risk for spreading COVID-19 in the United States. This is a rapidly evolving situation and information will be updated as it becomes available. CDC, the U. S. Department of Agriculture (USDA), and the U.S. Fish and Wildlife Service (FWS) play distinct but complementary roles in regulating the importation of live animals and animal products into the United States.CDC regulatesanimals and animal products that pose a threat to human health,USDA regulateexternal iconanimals and animal products that pose a threat to agriculture; andFWS regulatesexternal iconimportation of endangered species and wildlife that can harm the health and welfare of humans, the interests of agriculture, horticulture, or forestry, and the welfare and survival of wildlife resources."
"child,women,pet",Can wild animals spread the virus that causes COVID-19 to people or pets?,"Currently, there is no evidence to suggest the virus that causes COVID-19 is circulating in free-living wildlife in the United States, or that wildlife might be a source of infection for people in the United States. The first case of a wild animal testing positive for the virus in the United States was a tiger with a respiratory illness at a zoo in New York City. However, this tiger was in a captive zoo environment ,and public health officials believe the tiger became sick after being exposed to a zoo employee who was infected and spreading the virus.If a wild animal were to become infected with the virus, we donâ€™t know whether the infection could then spread among wildlife or if it could spread to other animals, including pets. Further studies are needed to understand if and how different animals, including wildlife, could be affected by COVID-19. Because wildlife can carry other diseases, even without looking sick, it is always important to enjoy wildlife from a distance.Take steps to prevent getting sick from wildlife in the United States:Keep your family, including pets, a safe distance away from wildlife.Do not feed wildlife or touch wildlife droppings.Always wash your hands and supervise children washing their hands after working or playing outside.Leave orphaned animals alone. Often, the parents are close by and will return for their young.Consult your state wildlife agencyâ€™s guidance if you are preparing or consuming legally harvested game meat.Do not approach or touch a sick or dead animal â€“ contact your state wildlife agency instead."
general,Are there work restrictions recommended for HCP with underlying health conditions who may care for COVID-19 patients? ,"Adherence to recommended infection prevention and control practices is an important part of protecting HCP and patients in healthcare settings. All HCP who care for confirmed or suspected COVID-19 patients should adhere tostandard and transmission based precautions.To the extent feasible, healthcare facilities could consider prioritizing HCP who are not at higher risk of developing severe illness from COVID-19 or who are not pregnant to care for confirmed or suspected COVID-19 patients.If staffing shortages make this challenging, facilities could consider restricting HCP at higher risk for severe illness from COVID-19 or who are pregnant from being present for higher risk procedures (e.g.,aerosol-generating procedures) on COVID-19 patients. Find more information for facilities onmitigating HCP staffing shortages.HCP who are concerned about their individual risk for severe illness from COVID-19 due to underlying medical conditions while caring for COVID-19 patients can discuss their concerns with their supervisor or occupational health services.People 65 years and older and people of all ages with seriousunderlying health conditionsâ€” like serious heart conditions, chronic lung disease, and diabetes â€” seem to be at higher risk of developing severe illness from COVID-19.Information on COVID-19 in pregnancy is limited. Pregnant women are not currently considered at increased risk for severe illness from COVID-19. Â However, pregnant women have had a higher risk of severe illness when infected with viruses from the same family as COVID-19 and other viral respiratory infections, such as influenza. Find more information onpregnancyand risk for severe illness from COVID-19."
info,Who is at risk for infection with the virus?,"Currently, those at greatest risk of infection are persons who have had prolonged, unprotected close contact with a patient with symptomatic, confirmed COVID-19 and those who live in or have recently been to areas with sustained transmission. For more information, seeRisk Assessment."
info,Who is at risk for severe disease from COVID-19?,"The available data are currently insufficient to clearly identify risk factors for severe clinical outcomes. Based on limited data that are available for COVID-19 patients, and data from related coronaviruses such as severe acute respiratory syndrome coronavirus (SARS-CoV) and MERS-CoV, people who may be at risk for more severe outcomes include older adults and persons who have certainunderlying chronic medical conditions. Those underlying chronic conditions include chronic lung disease, moderate to severe asthma, cardiac disease with complications, diabetes, or immunocompromising conditions. See alsoInterim Clinical Guidance for Management of Patients with Confirmed Coronavirus Disease 2019 (COVID-19)andInformation for Healthcare Professionals: COVID-19 and Underlying Conditions."
"child,women,pet",Are pregnant healthcare personnel at increased risk if they care for COVID-19 patients?,"Pregnant healthcare personnel (HCP) should followrisk assessmentandinfection controlguidelines for HCP exposed to patients with suspected or confirmed COVID-19. Adherence to recommended infection prevention and control practices is an important part of protecting all HCP in healthcare settings. Information on COVID-19 in pregnancy is very limited; facilities may want to consider limiting exposure of pregnant HCP to patients with confirmed or suspected COVID-19, especially during higher risk procedures (e.g., aerosol-generating procedures) if feasible based on staffing availability."
general,When is someone infectious?,"The onset and duration of viral shedding and the period of infectiousness for COVID-19 are not yet known. It is possible that SARS-CoV-2 RNA may be detectable in the upper or lower respiratory tract for weeks after illness onset, similar to infections with MERS-CoV and SARS-CoV. However, detection of viral RNA does not necessarily mean that infectious virus is present. There are reports of asymptomatic infections (detection of virus with no development of symptoms) and pre-symptomatic infections (detection of virus prior to development of symptoms) with SARS-CoV-2, but their role in transmission is not yet known. Based on existing literature, the incubation period (the time from exposure to development of symptoms) of SARS-CoV-2 and other coronaviruses (e.g. MERS-CoV, SARS-CoV) ranges from 2â€“14 days."
spread,Which body fluids can spread infection?,"SARS-CoV-2 RNA has been detected in upper and lower respiratory tract specimens, and SARS-CoV-2 virus has been isolated from upper respiratory tract specimens and bronchoalveolar lavage fluid. SARS-CoV-2 RNA has been detected in blood and stool specimens, and SARS-CoV-2 virus has been isolated in cell culture from the stool of some patients, including a patient with pneumonia 15 days after symptom onset. The duration of SARS-CoV-2 RNA detection in upper and lower respiratory tract specimens and in extrapulmonary specimens is not yet known but may be several weeks or longer. Duration of several week or longer has been observed in cases of MERS-CoV or SARS-CoV infection. While viable, infectious SARS-CoV has been isolated from respiratory, blood, urine, and stool specimens, viable, infectious MERS-CoV has only been isolated from respiratory tract specimens. It is not yet known whether other non-respiratory body fluids from an infected person including vomit, urine, breast milk, or semen can contain viable, infectious SARS-CoV-2."
general,Can people who recover from COVID-19 be re-infected with SARS-CoV-2?,"The immune response, including duration of immunity, to SARS-CoV-2 infection is not yet understood. Patients with MERS-CoV are unlikely to be re-infected shortly after they recover, but it is not yet known whether similar immune protection will be observed for patients with COVID-19."
testing,How do you test a patient for infection with SARS-CoV-2?,"Clinicians are able to access laboratory testing through state and local public health laboratories, as well as commercial and clinical laboratories across the country. TheAssociation of Public Health Laboratoriesexternal iconprovides a list of states and territories with laboratories that are using COVID-19 diagnostic tests. For more information, seeTesting in U.S.Clinicians should direct testing questions to theirstate health departments. Commercial reference laboratories are also able to offer a larger volume of testing for SARS-CoV-2.CDC hasguidancefor who should be tested, but decisions about testing are at the discretion of state and local health departments and/or individual clinicians.Healthcare providers should report positive Â results to their local/state health department CDC does not directly collect these data directly.See recommendations for prioritization of testing, and instructions for specimen collection atEvaluating and Testing Persons for COVID-19."
testing,"If a patient tests positive for another respiratory virus, should that exclude SARS-CoV-2 as a cause of illness?","Patients can be infected with more than one virus at the same time. Coinfections with other respiratory viruses in people with COVID-19 have been reported. Therefore, identifying infection with one respiratory virus does not exclude SARS-CoV-2 virus infection."
testing,Should chest CT be used for diagnosis of COVID-19?,"Clinicians considering use of chest CT scans for diagnosis or management of COVID-19 patients should consider whether such imaging will change clinical management. The American College of Radiology (ACR) recommends that CT should not be used to screen for COVID-19, or as a first-line test to diagnose COVID-19, and that CT should be used sparingly and reserved for hospitalized, symptomatic patients with specific clinical indications for CT. Appropriate infection control procedures should be followed before scanning subsequent patients. For more information see,ACR Recommendations for the use of Chest Radiography and Computed Tomography (CT) for Suspected COVID-19 Infectionexternal iconexternal icon."
general,Whom should healthcare providers notify if they suspect a patient has COVID-19?,"Healthcare providers should immediately notify infection control personnel at their facility if they suspect COVID-19 in a patient. If a patient tests positive, providers should report that positive result to their local/state health department."
info,How are COVID-19 patients treated?,"Not all patients with COVID-19 will require medical supportive care. Clinical management for hospitalized patients with COVID-19 is focused on supportive care for complications, including supplemental oxygen and advanced organ support for respiratory failure, septic shock, and multi-organ failure. Empiric testing and treatment for other viral or bacterial etiologies may be warranted.Corticosteroids arenotroutinely recommended for treatment of viral pneumonia or ARDS, due to the potential for prolonging viral replication, as has been observed with MERS coronavirus and influenza. Corticosteroids should be avoided unless they are indicated for another reason (e.g., COPD exacerbation or refractory septic shock following theSurviving Sepsis Campaign Guidelinesexternal iconexternal icon).For information on investigational therapies, seeTherapeutic Options for Patients with COVID-19."
general,Do patients with confirmed or suspected COVID-19 are admitted to the hospital?,"Not all patients with COVID-19 require hospital admission. Patients whose clinical presentation warrants in-patient clinical management for supportive medical care should be admitted to the hospital under appropriate isolation precautions.Some patients with initial mild clinical presentation may worsen in the second week of illness. The decision to monitor these patients in the inpatient or outpatient setting should be made on a case-by-case basis. This decision will depend not only on the clinical presentation, but also on the patientâ€™s ability to engage in self-monitoring, the feasibility of safe isolation at home, and the risk of transmission in the patientâ€™s home environment. For more information, seeInterim Infection Prevention and Control Recommendations for Patients with Suspected or Confirmed Coronavirus Disease 2019 (COVID-19) in a Healthcare SettingandInterim Guidance for Implementing Home Care of People Not Requiring Hospitalization for Coronavirus Disease 2019 (COVID-19)."
info,When can patients with confirmed COVID-19 be discharged from the hospital?,"Patients can be discharged from the healthcare facility whenever clinically indicated. Isolation should be maintained at home if the patient returns home before the time period recommended for discontinuation of hospitalTransmission-Based Precautions.Decisions to discontinue Transmission-Based Precautions or in-home isolation can be made on a case-by-case basis in consultation with clinicians, infection prevention and control specialists, and public health authorities based upon multiple factors, including disease severity, illness signs and symptoms, and results of laboratory testing for COVID-19 in respiratory specimens.SeeInterim Considerations for Disposition of Hospitalized Patients with COVID-19. For non-hospitalized persons, seeInterim Guidance for Implementing Home Care of People Not Requiring Hospitalization for COVID-19, andDiscontinuation of In-Home Isolation for Immunocompromised Persons."
general,How should the use of N95 respirators be prioritized within obstetric healthcare settings during shortages?,"During respirator shortages, care should be taken to ensure that N95 respirators are reserved for situations where respiratory protection is most important, such as performance of aerosol-generating procedures on patients with suspected or confirmed COVID-19 infection. In such shortage situations, facemasks might be used for other types of patient care.Alternatives to N95 respirators might be considered where feasible. These include other classes of NIOSH-approved filtering facepiece respirators, half facepiece or full facepiece elastomeric respirators, and powered air-purifying respirators (PAPRs) where feasible. All of these alternatives will provide equivalent or higher protection than N95 respirators when properly worn. However, PAPRs and elastomeric respirators shouldnotbe used in surgical settings due to concerns that exhaled air may contaminate the sterile field. For more information please see:Strategies for Optimizing the Supply of N95 Respirators: Conventional Capacity Strategies.When respirator supplies are restored, the facility can switch back to use of N95 respirators for all care of patients with known or suspected COVID-19 infection. For more information, please seeInterim Infection Prevention and Control Recommendations for Patients with Suspected or Confirmed Coronavirus Disease 2019 (COVID-19) in Healthcare Settings."
symptoms,Should intrapartum fever be considered as a possible sign of COVID-19 infection?,"Clinicians should use their judgment to determine if a patient hassigns and symptomscompatible with COVID-19 and whether the patient should be tested. Fever is the most commonly reported sign; most patients with confirmed COVID-19 have developed feverÂ and/or symptoms of acute respiratory illness (cough, difficulty breathing).Data regarding COVID-19 in pregnancy are limited; according to current information, presenting signs and symptoms are expected to be similar to those for non-pregnant patients, including the presence of fever.Other considerations that may guide testing are epidemiologic factors such as the occurrence of local community transmission of COVID-19 infections. As part of evaluation, clinicians are strongly encouraged to test for other causes of respiratory illness and peripartum fever. For more information please see:Evaluating and Testing Persons for Coronavirus Disease 2019 (COVID-19)"
"children,women,pets",What guidance is available for labor and delivery HCP with potential exposure in a healthcare setting to patients with COVID-19 infection?,"HCP in labor and delivery healthcare settings should follow the same infection prevention and control recommendations and personal protective equipment recommendations as all other HCP. If HCP are exposed to patients with COVID-19 infection, guidance is available for HCP and healthcare facilities on steps to take. For more information, please see:Interim U.S. Guidance for Risk Assessment and Public Health Management of Healthcare Personnel with Potential Exposure in a Healthcare Setting to Patients with Coronavirus Disease (COVID-19)"
cure,Are empiric antibiotics recommended for patients suspected of having COVID-19?,"Several patients with COVID-19 have been reported to present with concurrent community-acquired bacterial pneumonia. Decisions to administer antibiotics to COVID-19 patients should be based on the likelihood of bacterial infection (community-acquired or hospital-acquired), illness severity, and antimicrobial stewardship issues. For more information, seeDiagnosis and Treatment of Adults with Community-acquired Pneumonia: An Official Clinical Practice Guideline of the American Thoracic Society and Infectious Diseases Society of Americaexternal iconexternal icon."
cure,What antiviral drugs are available to treat COVID-19?,"There are currently no antiviral drugs approved by FDA to treat COVID-19. SeeInterim Clinical Guidance for Management of Patients with Confirmed Coronavirus Disease 2019 (COVID-19).For information on use of investigational drugs for treatment of patients with COVID-19, seeTherapeutic Options for Patients with COVID-19.For information on specific clinical trials underway for treatment of patients with COVID-19 infection, visitclinicaltrials.govexternal icon."
cure,"If my patient experiences an asthma exacerbation, should the exacerbation be treated any differently to reduce risk of COVID-19?","Selection of therapeutic options through guideline-recommended treatment of asthma exacerbations has not been affected by what we currently know about COVID-19.Systemic corticosteroids should be used to treat an asthma exacerbation pernational asthma guidelinesexternal iconand current standards of care, even if it is caused by COVID-19. Short-term use of systemic corticosteroids to treat asthma exacerbations should be continued. There is currently no evidence to suggest that short-term use of systemic corticosteroids to treat asthma exacerbations increases the risk of developing severe COVID-19, whereas there is an abundance of data to support use of systemic steroids for moderate or severe asthma exacerbations.Patients with asthma but without symptoms or a diagnosis of COVID-19 should continue any required nebulizer for treatments, as recommended by national professional organizations, including the American Academy of Allergy, Asthma & Immunology (AAAAI) and the American College of Allergy, Asthma & Immunology (ACAAI). If healthcare providers need to be present during nebulizer use among patients who have either symptoms or a diagnosis of COVID-19, useCDCâ€™s recommended precautions when performing aerosol-generating procedures (AGPs).Clinicians may be concerned that an asthma exacerbation is related to an underlying infection with COVID-19. Clinicians can access laboratory testing for COVID-19 through a network of state and local public health laboratories across the country. Lists ofstates and territories with laboratoriesthat are using COVID-19 diagnostic tests are available. For more information, seeTesting in U.S.Clinicians should direct testing questions to theirstateandlocalexternal iconhealth departments."
testing,Should medical from healthcare facilities treating patients with confirmed COVID-19 be handled any differently?,"Medical waste (trash) coming from healthcare facilities treating COVID-2019 patients is no different than waste coming from facilities without COVID-19 patients. CDCâ€™s guidance states that management of laundry, food service utensils, and medical waste should be performed in accordance with routine procedures. There is no evidence to suggest that facility waste needs any additional disinfection.More guidance about environmental infection control is available in section 7 of CDCâ€™sInterim Infection Prevention and Control Recommendationsfor Patients with Confirmed COVID-19 or Persons Under Investigation for COVID-19 in Healthcare Settings."
